,Title,Author,Published,Link
12,Regional identification of information flow termination of electrohysterographic signals: Towards understanding human uterine electrical propagation,"Xu, Y.",Aug 2022,https://pureportal.coventry.ac.uk/en/publications/regional-identification-of-information-flow-termination-of-electr
13,Calcium Activation of Parvalbumin Neurons Induced by Electrical Motor Cortex Stimulation,"Xu, Y.",8 Sept 2022,https://pureportal.coventry.ac.uk/en/publications/calcium-activation-of-parvalbumin-neurons-induced-by-electrical-m
14,An amygdala response to fearful faces with covered eyes,"Wright, H.",2008,https://pureportal.coventry.ac.uk/en/publications/an-amygdala-response-to-fearful-faces-with-covered-eyes
15,The contribution of stimulus-driven and goal-driven mechanisms to feature-based selection in patients with spatial attention deficits,"Wright, H.",2012,https://pureportal.coventry.ac.uk/en/publications/the-contribution-of-stimulus-driven-and-goal-driven-mechanisms-to
16,Sleep Disturbances and Mild Cognitive Impairment in the English Longitudinal Study of Ageing,"Wright, H.",1 Jun 2013,https://pureportal.coventry.ac.uk/en/publications/sleep-disturbances-and-mild-cognitive-impairment-in-the-english-l-3
17,Sleep Disturbances and Mild Cognitive Impairment in the English Longitudinal Study of Ageing,"Wright, H.",1 Sept 2013,https://pureportal.coventry.ac.uk/en/publications/sleep-disturbances-and-mild-cognitive-impairment-in-the-english-l-4
18,Sleep Disturbances and Cognitive Function in the English Longitudinal Study of Ageing,"Wright, H.",25 Jun 2014,https://pureportal.coventry.ac.uk/en/publications/sleep-disturbances-and-cognitive-function-in-the-english-longitud-2
19,Sleep and Cognition,"Wright, H.",24 Sept 2014,https://pureportal.coventry.ac.uk/en/publications/sleep-and-cognition-2
20,Cross-Sectional Study of Sleep Quantity and Quality and Amnestic and Non-Amnestic Cognitive Function in an Ageing Population: The English Longitudinal Study of Ageing (ELSA),"Wright, H.",26 Jun 2014,https://pureportal.coventry.ac.uk/en/publications/cross-sectional-study-of-sleep-quantity-and-quality-and-amnestic--2
21,The effect of expectancy of sleep induction on sleep quality using objective and subjective measures,"Wright, H.",2015,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-expectancy-of-sleep-induction-on-sleep-quality-usin-2
22,Sex on the Brain: Associations between Cognitive Function and Sexual Activity in Community-Dwelling Older Adults in England,"Wright, H.",6 Nov 2015,https://pureportal.coventry.ac.uk/en/publications/sex-on-the-brain-associations-between-cognitive-function-and-sexu
23,"Gender, cognition and cognitive lifestyle in the English Longitudinal Study of Ageing","Wright, H.",2015,https://pureportal.coventry.ac.uk/en/publications/gender-cognition-and-cognitive-lifestyle-in-the-english-longitudi
24,Cross-sectional associations between sexual activity and cognitive function in the English Longitudinal Study of Ageing,"Wright, H.",2015,https://pureportal.coventry.ac.uk/en/publications/cross-sectional-associations-between-sexual-activity-and-cognitiv
25,Sex on the brain! Associations between sexual activity and cognitive function in older age,"Wright, H.",2016,https://pureportal.coventry.ac.uk/en/publications/sex-on-the-brain-associations-between-sexual-activity-and-cogniti-2
26,Sex and Cognition in Later Life: Exploring Links Between Intimacy and Brain Function,"Wright, H.",2016,https://pureportal.coventry.ac.uk/en/publications/sex-and-cognition-in-later-life-exploring-links-between-intimacy-
27,Research in the Media: Is All Publicity ‘Good’ Publicity?,"Wright, H.",2016,https://pureportal.coventry.ac.uk/en/publications/research-in-the-media-is-all-publicity-good-publicity
28,"""No Particular Place to Go"": Gender, Sexuality and Sexual Health Help-Seeking in UK Older Adults","Wright, H.",2016,https://pureportal.coventry.ac.uk/en/publications/no-particular-place-to-go-gender-sexuality-and-sexual-health-help
29,How Much is Enough? Potential Benefits of an Active Sex Life on Working Memory,"Wright, H.",2016,https://pureportal.coventry.ac.uk/en/publications/how-much-is-enough-potential-benefits-of-an-active-sex-life-on-wo
30,Frequency of Sexual Activity in Ageing Populations: Implications for Cognitive Function,"Wright, H.",5 Sept 2016,https://pureportal.coventry.ac.uk/en/publications/frequency-of-sexual-activity-in-ageing-populations-implications-f
31,Sexuality and ageing research: perspectives of a cognitive psychologist,"Wright, H.",Jul 2017,https://pureportal.coventry.ac.uk/en/publications/sexuality-and-ageing-research-perspectives-of-a-cognitive-psychol
32,Handy tips for surviving a conference: an introvert’s guide,"Wright, H.",31 Aug 2017,https://pureportal.coventry.ac.uk/en/publications/handy-tips-for-surviving-a-conference-an-introverts-guide
33,Five things that reduce the risk of cognitive decline with age,"Wright, H.",25 Aug 2017,https://pureportal.coventry.ac.uk/en/publications/five-things-that-reduce-the-risk-of-cognitive-decline-with-age
34,"Exploring the Links Between Cognition and Sexual Activity: Cognitive Flexibility, Dopamine and the Prefrontal Cortex","Wright, H.",2017,https://pureportal.coventry.ac.uk/en/publications/exploring-the-links-between-cognition-and-sexual-activity-cogniti
35,Associations between cognitive function and sexual activities in later life,"Wright, H.",2017,https://pureportal.coventry.ac.uk/en/publications/associations-between-cognitive-function-and-sexual-activities-in-
36,Frequent sexual activity predicts specific cognitive abilities in older adults,"Wright, H.",Jan 2019,https://pureportal.coventry.ac.uk/en/publications/frequent-sexual-activity-predicts-specific-cognitive-abilities-in
37,Sexual expression and cognitive function: gender-divergent associations in older adults,"Wright, H.",Apr 2020,https://pureportal.coventry.ac.uk/en/publications/sexual-expression-and-cognitive-function-gender-divergent-associa
38,Help to Overcome Problems Effectively for Cancer Survivors: Development and Evaluation of a Digital Self-Management Program,"Wright, H.",19 May 2020,https://pureportal.coventry.ac.uk/en/publications/help-to-overcome-problems-effectively-for-cancer-survivors-develo
39,A Digital Program (Hope) for People Living With Cancer During the COVID-19 Pandemic: Protocol for a Feasibility Randomized Controlled Trial,"Wright, H.",4 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/a-digital-program-hope-for-people-living-with-cancer-during-the-c
40,World Stroke Day 2021: Let’s talk about sex,"Wright, H.",29 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/world-stroke-day-2021-lets-talk-about-sex
41,Introducing the tablet-based Oxford Cognitive Screen-Plus (OCS-Plus) as an assessment tool for subtle cognitive impairments,"Wright, H.",Dec 2021,https://pureportal.coventry.ac.uk/en/publications/introducing-the-tablet-based-oxford-cognitive-screen-plus-ocs-plu
42,Fostering Distance Education: Lessons From a United States-England Partnered Collaborative Online International Learning Approach,"Wright, H.",1 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/fostering-distance-education-lessons-from-a-united-states-england
43,A ray of HOPE: digital self-management for people living with cancer during COVID-19,"Wright, H.",26 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/a-ray-of-hope-digital-self-management-for-people-living-with-canc
44,A Digital Self-management Program (Help to Overcome Problems Effectively) for People Living With Cancer: Feasibility Randomized Controlled Trial ,"Wright, H.",5 Nov 2021,https://pureportal.coventry.ac.uk/en/publications/a-digital-self-management-program-help-to-overcome-problems-effec
45,Older Individuals Convicted of Sexual Offenses: A Literature Review,"Tramontano, C.",Apr 2022,https://pureportal.coventry.ac.uk/en/publications/older-individuals-convicted-of-sexual-offenses-a-literature-revie
46,Give the people what they want: evidence-based peer support for Long COVID,"Wright, H.",29 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/give-the-people-what-they-want-evidence-based-peer-support-for-lo
47,Digital Peer-Supported Self-Management Intervention Codesigned by People With Long COVID: Mixed Methods Proof-of-Concept Study,"Wright, H.",14 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/digital-peer-supported-self-management-intervention-codesigned-by
48,Non-specific Mechanisms in Orthodox and CAM management of low back pain (MOCAM). Theoretical framework and protocol for a prospective cohort study,"Parry, L. J.",27 May 2016,https://pureportal.coventry.ac.uk/en/publications/non-specific-mechanisms-in-orthodox-and-cam-management-of-low-bac
49,Combined cognitive biases for pain and disability information in individuals with chronic headache: A preliminary investigation,"Parry, L. J.",24 Aug 2016,https://pureportal.coventry.ac.uk/en/publications/combined-cognitive-biases-for-pain-and-disability-information-in-
50,Long-term use of mobile phone apps and wearables to support physical activity: from barriers and facilitators to guidelines,"Wilde, L. J.",24 May 2017,https://pureportal.coventry.ac.uk/en/publications/long-term-use-of-mobile-phone-apps-and-wearables-to-support-physi
51,"Exploring cancer survivors’ views of health behavior change: ""Where do you start, where do you stop with everything?""","Wilde, L. J.",Jul 2018,https://pureportal.coventry.ac.uk/en/publications/exploring-cancer-survivors-views-of-health-behavior-change-where-
52,Apps and wearables to monitor physical activity and sedentary behaviour: Preliminary findings from a qualitative systematic review on barriers and facilitators,"Wilde, L. J.",5 Jun 2018,https://pureportal.coventry.ac.uk/en/publications/apps-and-wearables-to-monitor-physical-activity-and-sedentary-beh
53,Apps and wearables to monitor physical activity and sedentary behaviour: Findings from a qualitative systematic review on barriers and facilitators,"Wilde, L. J.",15 Oct 2018,https://pureportal.coventry.ac.uk/en/publications/apps-and-wearables-to-monitor-physical-activity-and-sedentary-beh-2
54,Apps and wearables for monitoring physical activity and sedentary behaviour: a qualitative systematic review protocol on barriers and facilitators,"Wilde, L. J.",2018,https://pureportal.coventry.ac.uk/en/publications/apps-and-wearables-for-monitoring-physical-activity-and-sedentary
55,Renewed: Protocol for a randomised controlled trial of a digital intervention to support quality of life in cancer survivors,"Wilde, L. J.",1 Mar 2019,https://pureportal.coventry.ac.uk/en/publications/renewed-protocol-for-a-randomised-controlled-trial-of-a-digital-i
56,"Developing a digital intervention for cancer survivors: an evidence-, theory- and person-based approach",,2 Sept 2019,https://pureportal.coventry.ac.uk/en/publications/developing-a-digital-intervention-for-cancer-survivors-an-evidenc
57,Mobile health apps: An exploration of user-generated reviews in Google Play store on a physical activity application,"Wilde, L. J.",2021,https://pureportal.coventry.ac.uk/en/publications/mobile-health-apps-an-exploration-of-user-generated-reviews-in-go
58,Implementing a digital intervention for managing uncontrolled hypertension in Primary Care: a mixed methods process evaluation,"Wilde, L.",26 May 2021,https://pureportal.coventry.ac.uk/en/publications/implementing-a-digital-intervention-for-managing-uncontrolled-hyp
59,“Addicted to the tracker”?: Experiences of people with Chronic Obstructive Pulmonary Disease (COPD) using activity trackers,"Wilde, L. J.",25 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/addicted-to-the-tracker-experiences-of-people-with-chronic-obstru
60,‘It’s really just been a learning experience’: A qualitative study to explore the experiences of people with chronic obstructive pulmonary disease (COPD) using activity monitors,"Wilde, L. J.",11 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/its-really-just-been-a-learning-experience-a-qualitative-study-to
61,‘It’s definitely the future’: Healthcare practitioners’ views and experiences of activity monitors to support people with chronic obstructive pulmonary disease (COPD),"Wilde, L. J.",11 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/its-definitely-the-future-healthcare-practitioners-views-and-expe
62,What Are the Experiences of People with COPD Using Activity Monitors?: A Qualitative Scoping Review,"Wilde, L. J.",31 Dec 2022,https://pureportal.coventry.ac.uk/en/publications/what-are-the-experiences-of-people-with-copd-using-activity-monit
63,"Systematic Review of Physical Activity, Sedentary Behaviour and Sleep Among Adults Living with Chronic Respiratory Disease in Low- and Middle-Income Countries.","Wilde, L. J.",18 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/systematic-review-of-physical-activity-sedentary-behaviour-and-sl
64,Protocol for a single-centre mixed-method pre–post single-arm feasibility trial of a culturally appropriate 6-week pulmonary rehabilitation programme among adults with functionally limiting chronic respiratory diseases in Malawi,,31 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/protocol-for-a-single-centre-mixed-method-prepost-single-arm-feas
65,Developing public transport messaging to provide crowding information during COVID-19: Application of the COM-B model and behaviour change wheel,"Wilde, L. J.",Mar 2022,https://pureportal.coventry.ac.uk/en/publications/developing-public-transport-messaging-to-provide-crowding-informa
66,Views and Experiences of Healthcare Practitioners Supporting People with Copd Who Have Used Activity Monitors: “More than Just Steps”,"Wilde, L.",12 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/views-and-experiences-of-healthcare-practitioners-supporting-peop
67,Energy saving Techniques in Mobile Crowd Sensing: Current State and Future Opportunities,"Wang, J.",30 May 2018,https://pureportal.coventry.ac.uk/en/publications/energy-saving-techniques-in-mobile-crowd-sensing-current-state-an
68,Enabling Human-Centric Smart Cities: Crowdsourcing-Based Practice in China,"Wang, J.",1 Dec 2018,https://pureportal.coventry.ac.uk/en/publications/enabling-human-centric-smart-cities-crowdsourcing-based-practice-
69,STAR: Spatio-temporal taxonomy-aware tag recommendation for citizen complaints,"Wang, J.",3 Nov 2019,https://pureportal.coventry.ac.uk/en/publications/star-spatio-temporal-taxonomy-aware-tag-recommendation-for-citize
70,Social-Network-Assisted Worker Recruitment in Mobile Crowd Sensing,"Wang, J.",1 Jul 2019,https://pureportal.coventry.ac.uk/en/publications/social-network-assisted-worker-recruitment-in-mobile-crowd-sensin
71,MLRDA: A multi-task semi-supervised learning framework for drug-drug interaction prediction,"Wang, J.",16 Aug 2019,https://pureportal.coventry.ac.uk/en/publications/mlrda-a-multi-task-semi-supervised-learning-framework-for-drug-dr
72,Learning-Assisted Optimization in Mobile Crowd Sensing: A Survey,"Wang, J.",1 Jan 2019,https://pureportal.coventry.ac.uk/en/publications/learning-assisted-optimization-in-mobile-crowd-sensing-a-survey
73,Crowd-Assisted Machine Learning: Current Issues and Future Directions,"Wang, J.",1 Jan 2019,https://pureportal.coventry.ac.uk/en/publications/crowd-assisted-machine-learning-current-issues-and-future-directi
74,CAMP: Co-Attention Memory Networks for Diagnosis Prediction in Healthcare,"Wang, J.",Nov 2019,https://pureportal.coventry.ac.uk/en/publications/camp-co-attention-memory-networks-for-diagnosis-prediction-in-hea
75,A Survey of Task Allocation: Contrastive Perspectives from Wireless Sensor Networks and Mobile Crowdsensing,"Wang, J.",27 Jun 2019,https://pureportal.coventry.ac.uk/en/publications/a-survey-of-task-allocation-contrastive-perspectives-from-wireles
76,Allocating Heterogeneous Tasks in Participatory Sensing with Diverse Participant-Side Factors,"Wang, J.",Sept 2019,https://pureportal.coventry.ac.uk/en/publications/allocating-heterogeneous-tasks-in-participatory-sensing-with-dive
77,Will online digital footprints reveal your relationship status? an empirical study of social applications for sexual-minority men,"Wang, J.",18 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/will-online-digital-footprints-reveal-your-relationship-status-an
78,"What Happens in Peer-Support, Stays in Peer-Support: Software Architecture for Peer-Sourcing in Mental Health","Wang, J.",22 Sept 2020,https://pureportal.coventry.ac.uk/en/publications/what-happens-in-peer-support-stays-in-peer-support-software-archi
79,Task allocation based on node pair intimacy in wireless sensor networks,"Wang, J.",1 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/task-allocation-based-on-node-pair-intimacy-in-wireless-sensor-ne
80,Swarm-Intelligence-Based Rendezvous Selection via Edge Computing for Mobile Sensor Networks,"Wang, J.",Oct 2020,https://pureportal.coventry.ac.uk/en/publications/swarm-intelligence-based-rendezvous-selection-via-edge-computing-
81,Participants Selection for From-Scratch Mobile Crowdsensing via Reinforcement Learning,"Wang, J.",29 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/participants-selection-for-from-scratch-mobile-crowdsensing-via-r
82,Multi-source data integration-based urban road GPS environment friendliness estimation,"Wang, J.",9 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/multi-source-data-integration-based-urban-road-gps-environment-fr
83,HyTasker: Hybrid Task Allocation in Mobile Crowd Sensing,"Wang, J.",1 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/hytasker-hybrid-task-allocation-in-mobile-crowd-sensing
84,Generic and efficient connectivity determination for IoT applications,"Wang, J.",Jun 2020,https://pureportal.coventry.ac.uk/en/publications/generic-and-efficient-connectivity-determination-for-iot-applicat
85,Estimating urban road gps environment friendliness with bus trajectories: A city-scale approach,"Wang, J.",12 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/estimating-urban-road-gps-environment-friendliness-with-bus-traje
86,Correlating msm's mental health with usage behaviors on msm-specific social applications,"Wang, J.",9 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/correlating-msms-mental-health-with-usage-behaviors-on-msm-specif
87,ConCare: Personalized clinical feature embedding via capturing the healthcare context,"Wang, J.",2020,https://pureportal.coventry.ac.uk/en/publications/concare-personalized-clinical-feature-embedding-via-capturing-the
88,Assessing mental stress based on smartphone sensing data: An empirical study,"Wang, J.",9 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/assessing-mental-stress-based-on-smartphone-sensing-data-an-empir
89,AdaCare: Explainable clinical health status representation learning via scale-adaptive feature extraction and recalibration,"Wang, J.",2020,https://pureportal.coventry.ac.uk/en/publications/adacare-explainable-clinical-health-status-representation-learnin
90,Understanding and Predicting the Burst of Burnout via Social Media,"Wang, J.",5 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/understanding-and-predicting-the-burst-of-burnout-via-social-medi
91,Task allocation through fuzzy logic based participant density analysis in mobile crowd sensing,"Wang, J.",Mar 2021,https://pureportal.coventry.ac.uk/en/publications/task-allocation-through-fuzzy-logic-based-participant-density-ana
92,Profile-Free and Real-Time Task Recommendation in Mobile Crowdsensing,"Wang, J.",1 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/profile-free-and-real-time-task-recommendation-in-mobile-crowdsen
93,Memory Augmented Hierarchical Attention Network for Next Point-of-Interest Recommendation,"Wang, J.",Apr 2021,https://pureportal.coventry.ac.uk/en/publications/memory-augmented-hierarchical-attention-network-for-next-point-of
94,Interpretable Machine Learning for COVID-19: An Empirical Study on Severity Prediction Task,"Wang, J.",25 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/interpretable-machine-learning-for-covid-19-an-empirical-study-on
95,Fine-Grained and Context-Aware Behavioral Biometrics for Pattern Lock on Smartphones,"Wang, J.",29 Mar 2021,https://pureportal.coventry.ac.uk/en/publications/fine-grained-and-context-aware-behavioral-biometrics-for-pattern-
96,Does our collective stringency control the virus? Investigating lockdown effectiveness on community mobility data,"Wang, J.",Jul 2021,https://pureportal.coventry.ac.uk/en/publications/does-our-collective-stringency-control-the-virus-investigating-lo
97,Distilling knowledge from publicly available online EMR data to emerging epidemic for prognosis,"Wang, J.",19 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/distilling-knowledge-from-publicly-available-online-emr-data-to-e
98,Crowd-Machine Hybrid Urban Sensing and Computing,"Wang, J.",9 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/crowd-machine-hybrid-urban-sensing-and-computing
99,Completing missing prevalence rates for multiple chronic diseases by jointly leveraging both intra- and inter-disease population health data correlations,"Wang, J.",19 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/completing-missing-prevalence-rates-for-multiple-chronic-diseases
100,Competition-Congestion-Aware Stable Worker-Task Matching in Mobile Crowd Sensing,"Wang, J.",Sept 2021,https://pureportal.coventry.ac.uk/en/publications/competition-congestion-aware-stable-worker-task-matching-in-mobil
101,Towards Personalized Federated Learning Via Group Collaboration in IIoT,"Wang, J.",18 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/towards-personalized-federated-learning-via-group-collaboration-i
102,Toward Fairness-Aware Time-Sensitive Asynchronous Federated Learning for Critical Energy Infrastructure,"Wang, J.",1 May 2022,https://pureportal.coventry.ac.uk/en/publications/toward-fairness-aware-time-sensitive-asynchronous-federated-learn
103,Spatial-Attention and Demographic-Augmented Generative Adversarial Imputation Network for Population Health Data Reconstruction,"Wang, J.",8 Dec 2022,https://pureportal.coventry.ac.uk/en/publications/spatial-attention-and-demographic-augmented-generative-adversaria
104,RL-Recruiter+: Mobility-Predictability-Aware Participant Selection Learning for From-Scratch Mobile Crowdsensing,"Wang, J.",1 Dec 2022,https://pureportal.coventry.ac.uk/en/publications/rl-recruiter-mobility-predictability-aware-participant-selection-
105,MARVAir: Meteorology Augmented Residual-based Visual Approach for Crowdsourcing Air Quality Inference,"Wang, J.",2022,https://pureportal.coventry.ac.uk/en/publications/marvair-meteorology-augmented-residual-based-visual-approach-for-
106,M3Care: Learning with Missing Modalities in Multimodal Healthcare Data,"Wang, J.",14 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/m3care-learning-with-missing-modalities-in-multimodal-healthcare-
107,ISIATasker: Task Allocation for Instant-SensingߝInstant-Actuation Mobile Crowdsensing: Task Allocation for Instant-Sensing-Instant-Actuation Mobile Crowd Sensing,"Wang, J.",1 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/isiatasker-task-allocation-for-instant-sensing%DF%9Dinstant-actuation-
108,Guest Editorial Special Issue on Artificial Intelligence for Autonomous Unmanned System Applications,"Wang, J.",13 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/guest-editorial-special-issue-on-artificial-intelligence-for-auto
109,Fine-Grained Assessment of COVID-19 Severity Based on Clinico-Radiological Data Using Machine Learning,"Liu, H.",26 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/fine-grained-assessment-of-covid-19-severity-based-on-clinico-rad
110,FedAux: An Efficient Framework for Hybrid Federated Learning,"Wang, J.",11 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/fedaux-an-efficient-framework-for-hybrid-federated-learning
111,Enhancing Online Epidemic Supervising System by Compartmental and GRU Fusion Model,"Wang, J.",29 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/enhancing-online-epidemic-supervising-system-by-compartmental-and
112,Dynamic Probabilistic Graphical Model for Progressive Fake News Detection on Social Media Platform,"Wang, J.",31 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/dynamic-probabilistic-graphical-model-for-progressive-fake-news-d
113,CrowdManager: An Ontology-Based Interaction and Management Middleware for Heterogeneous Mobile Crowd Sensing,"Wang, J.",18 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/crowdmanager-an-ontology-based-interaction-and-management-middlew
114,A Green Stackelberg-game Incentive Mechanism for Multi-service Exchange in Mobile Crowdsensing,"Wang, J.",31 May 2022,https://pureportal.coventry.ac.uk/en/publications/a-green-stackelberg-game-incentive-mechanism-for-multi-service-ex
115,PresSafe: Barometer-based On-screen Pressure Assisted Implicit Authentication for Smartphones,"Wang, J.",1 Jan 2023,https://pureportal.coventry.ac.uk/en/publications/pressafe-barometer-based-on-screen-pressure-assisted-implicit-aut
116,Dual-Stream Contrastive Learning for Channel State Information Based Human Activity Recognition,"Xu, K.",1 Jan 2023,https://pureportal.coventry.ac.uk/en/publications/dual-stream-contrastive-learning-for-channel-state-information-ba
117,Perceived barriers to self-management for people with dementia in the early stages,"Turner, A. P.",2013,https://pureportal.coventry.ac.uk/en/publications/perceived-barriers-to-self-management-for-people-with-dementia-in-2
118,"Exploring the need for, and feasibility of, a web-based self-management resource for teenage and young adult cancer survivors in the UK","Moody, L.",2013,https://pureportal.coventry.ac.uk/en/publications/exploring-the-need-for-and-feasibility-of-a-web-based-self-manage
119,Do interventions to promote walking in groups increase physical activity? A meta-analysis,"Turner, A. P.",2013,https://pureportal.coventry.ac.uk/en/publications/do-interventions-to-promote-walking-in-groups-increase-physical-a-2
120,Development and qualitative evaluation of a self-management workshop for testicular cancer survivor-initiated follow-up,"Turner, A. P.",2013,https://pureportal.coventry.ac.uk/en/publications/development-and-qualitative-evaluation-of-a-self-management-works-2
121,A process evaluation using a Self Determination Theory measure of the co-delivery of self management training by clinicians and by lay tutors,"Turner, A. P.",2013,https://pureportal.coventry.ac.uk/en/publications/a-process-evaluation-using-a-self-determination-theory-measure-of-2
122,"Self-reported effects of attending the Health Foundation's Co-Creating Health self-management programme for patients with type 2 diabetes mellitus in London, England","Turner, A. P.",2014,https://pureportal.coventry.ac.uk/en/publications/self-reported-effects-of-attending-the-health-foundations-co-crea-2
123,Predicting maintenance of attendance at walking groups: Testing constructs from three leading maintenance theories,"Turner, A.",Jul 2014,https://pureportal.coventry.ac.uk/en/publications/predicting-maintenance-of-attendance-at-walking-groups-testing-co-2
124,"Health, not weight loss, focused programmes versus conventional weight loss programmes for cardiovascular risk factors (Protocol)","Lycett, D.",2014,https://pureportal.coventry.ac.uk/en/publications/health-not-weight-loss-focused-programmes-versus-conventional-wei-2
125,Evaluation of a self-management programme for patients with chronic obstructive pulmonary disease,"Turner, A. P.",1 Aug 2014,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-a-self-management-programme-for-patients-with-chron-2
126,Delay in Seeking Medical Help following Transient Ischemic Attack (TIA) or “Mini-Stroke”: A Qualitative Study,"Turner, A.",19 Aug 2014,https://pureportal.coventry.ac.uk/en/publications/delay-in-seeking-medical-help-following-transient-ischemic-attack-2
127,Acceptability of new generic blood tests for early tumour detection and development of an associated on-line peer-support programme (eCOPE).,"Turner, A.",2014,https://pureportal.coventry.ac.uk/en/publications/acceptability-of-new-generic-blood-tests-for-early-tumour-detecti-2
128,"‘Midwives Overboard!’ Inside their hearts are breaking, their makeup may be flaking but their smile still stays on","Pezaro, S.",27 Oct 2015,https://pureportal.coventry.ac.uk/en/publications/midwives-overboard-inside-their-hearts-are-breaking-their-makeup--2
129,Web-based self-management for young cancer survivors: consideration of user requirements and barriers to implementation,"Moody, L.",Jun 2015,https://pureportal.coventry.ac.uk/en/publications/web-based-self-management-for-young-cancer-survivors-consideratio-2
130,The role of walkers’ needs and expectations in supporting maintenance of attendance at walking groups: a longitudinal multi-perspective study of walkers and walk group leaders,"Turner, A. P.",16 Mar 2015,https://pureportal.coventry.ac.uk/en/publications/the-role-of-walkers-needs-and-expectations-in-supporting-maintena-2
